EBE_class,mutation,epimutation,back_epimutation,w11,w22,w33,w44,w12,w13,w14,w23,w24,w34,num_equil,p1,p2,p3,p4,jacobian,EBE_exp
devfromebe_recessive,1.00E-07,0.001,0.01,0.985224149,0.985224149,0.985224149,1,0.985224149,0.985224149,0.985224149,0.985224149,0.985224149,0.985224149,1,0,0.896033313,0,0.103966687,-1.52E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.910229794,0.910229794,0.910229794,1,0.910229794,0.910229794,0.910229794,0.910229794,0.910229794,0.910229794,1,0,0.124124184,0,0.875875816,-0.00035267,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998963109,0.998963109,0.998963109,1,0.998963109,0.998963109,0.998963109,0.998963109,0.998963109,0.998963109,1,0,0.908379306,0,0.091620694,-1.05E-09,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.874516404,0.874516404,0.874516404,1,0.874516404,0.874516404,0.874516404,0.874516404,0.874516404,0.874516404,1,0,0.085494534,0,0.914505466,-0.001244173,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.119541912,0.119541912,0.119541912,1,0.119541912,0.119541912,0.119541912,0.119541912,0.119541912,0.119541912,1,0,0.011371762,0,0.988628238,-0.677093452,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.782750795,0.782750795,0.782750795,1,0.782750795,0.782750795,0.782750795,0.782750795,0.782750795,0.782750795,1,0,0.047643291,0,0.952356709,-0.008188664,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.921891476,0.921891476,0.921891476,1,0.921891476,0.921891476,0.921891476,0.921891476,0.921891476,0.921891476,1,0,0.145816452,0,0.854183548,-0.000199895,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.882041989,0.882041989,0.882041989,1,0.882041989,0.882041989,0.882041989,0.882041989,0.882041989,0.882041989,1,0,0.091476162,0,0.908523838,-0.000994243,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.88080323,0.88080323,0.88080323,1,0.88080323,0.88080323,0.88080323,0.88080323,0.88080323,0.88080323,1,0,0.090434186,0,0.909565814,-0.001032862,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.973551003,0.973551003,0.973551003,1,0.973551003,0.973551003,0.973551003,0.973551003,0.973551003,0.973551003,1,0,0.876402041,0,0.123597959,-2.65E-08,0.090909091
devfromebe_recessive,1.00E-07,0.001,0.01,0.998501996,0.998501996,0.998501996,1,0.998501996,0.998501996,0.998501996,0.998501996,0.998501996,0.998501996,1,0,0.908055465,0,0.091944535,-1.52E-09,0.090909091
